,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,A,B
11,Break and Enter Commercial,2018,3,2,6,17,10XX ALBERNI ST,West End,491058.8169,5459123.086
38,Break and Enter Commercial,2018,6,16,18,0,10XX ALBERNI ST,West End,491102.2439,5459092.435
97,Break and Enter Commercial,2018,12,12,0,0,10XX BEACH AVE,West End,490227.2225,5458210.379
110,Break and Enter Commercial,2018,4,9,6,0,10XX BEACH AVE,Central Business District,490249.2307,5458166.833
152,Break and Enter Commercial,2018,10,2,18,31,10XX BEACH AVE,Central Business District,490258.683,5458154.503
154,Break and Enter Commercial,2018,2,17,15,0,10XX BEACH AVE,Central Business District,490268.432,5458142.577
176,Break and Enter Commercial,2018,5,16,17,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.62,5458124.941
191,Break and Enter Commercial,2018,3,2,3,23,10XX BROUGHTON ST,West End,490263.0875,5459187.202
192,Break and Enter Commercial,2018,3,17,11,57,10XX BROUGHTON ST,West End,490263.0875,5459187.202
198,Break and Enter Commercial,2018,6,3,2,0,10XX BROUGHTON ST,West End,490272.5864,5459183.812
202,Break and Enter Commercial,2018,1,20,23,0,10XX BURNABY ST,West End,490423.586,5458504.006
203,Break and Enter Commercial,2018,2,28,18,0,10XX BURNABY ST,West End,490423.586,5458504.006
205,Break and Enter Commercial,2018,12,15,14,53,10XX BURNABY ST,West End,490439.9122,5458487.374
233,Break and Enter Commercial,2018,2,8,8,38,10XX BURRARD ST,West End,490729.6302,5458622.139
234,Break and Enter Commercial,2018,2,23,19,0,10XX BURRARD ST,West End,490729.6302,5458622.139
235,Break and Enter Commercial,2018,3,1,7,8,10XX BURRARD ST,West End,490729.6302,5458622.139
286,Break and Enter Commercial,2018,12,2,17,30,10XX BURRARD ST,Central Business District,490759.5183,5458639.443
287,Break and Enter Commercial,2018,12,4,17,0,10XX BURRARD ST,Central Business District,490759.5183,5458639.443
368,Break and Enter Commercial,2018,8,30,12,40,10XX CANADA PL,Central Business District,491519.3199,5459518.827
413,Break and Enter Commercial,2018,11,13,4,45,10XX COMMERCIAL DR,Grandview-Woodland,494937.5085,5458088.053
414,Break and Enter Commercial,2018,12,21,5,3,10XX COMMERCIAL DR,Grandview-Woodland,494937.5085,5458088.053
430,Break and Enter Commercial,2018,1,5,7,36,10XX COMMERCIAL DR,Grandview-Woodland,494946.6912,5458091.788
435,Break and Enter Commercial,2018,4,16,15,19,10XX COMMERCIAL DR,Grandview-Woodland,494946.7697,5458099.446
